# time   #sound   #sound-evelope   #vS-envelope
20.000000 8548.000000 8550.990463 8548.000000
20.000021 8553.000000 8570.304345 8568.003624
20.000042 8581.000000 8589.521408 8587.904876
20.000062 8623.000000 8608.545890 8607.602541
20.000083 8672.000000 8627.284134 8626.997704
20.000104 8695.000000 8645.645596 8645.994852
20.000125 8688.000000 8663.543816 8664.502928
20.000146 8688.000000 8680.897326 8682.436310
20.000167 8690.000000 8697.630490 8699.715710
20.000187 8673.000000 8713.674263 8716.268980
20.000208 8684.000000 8728.966860 8732.031813
20.000229 8763.000000 8743.454333 8746.948339
20.000250 8840.000000 8757.091043 8760.971603
20.000271 8838.000000 8769.840023 8774.063909
20.000292 8780.000000 8781.673214 8786.197050
20.000312 8712.000000 8792.571573 8797.352379
20.000333 8639.000000 8802.525053 8807.520746
20.000354 8571.000000 8811.532438 8816.702302
20.000375 8532.000000 8819.601058 8824.906153
20.000396 8524.000000 8826.746385 8832.149904
20.000417 8527.000000 8832.991511 8838.459086
20.000438 8511.000000 8838.366542 8843.866492
20.000458 8464.000000 8842.907908 8848.411426
20.000479 8385.000000 8846.657614 8852.138901
20.000500 8260.000000 8849.662439 8855.098789
20.000521 8080.000000 8851.973115 8857.344941
20.000542 7905.000000 8853.643487 8858.934303
20.000563 7824.000000 8854.729675 8859.926040
20.000583 7859.000000 8855.289256 8860.380671
20.000604 7948.000000 8855.380470 8860.359245
20.000625 7984.000000 8855.061473 8859.922566
20.000646 7896.000000 8854.389632 8859.130459
20.000667 7722.000000 8853.420885 8858.041115
20.000688 7545.000000 8852.209160 8856.710493
20.000708 7419.000000 8850.805863 8855.191800
20.000729 7369.000000 8849.259445 8853.535051
20.000750 7373.000000 8847.615032 8851.786696
20.000771 7355.000000 8845.914139 8849.989341
20.000792 7297.000000 8844.194447 8848.181526
20.000812 7283.000000 8842.489661 8846.397596
20.000833 7330.000000 8840.829427 8844.667625
20.000854 7358.000000 8839.239318 8843.017419
20.000875 7327.000000 8837.740874 8841.468570
20.000896 7242.000000 8836.351700 8840.038571
20.000917 7117.000000 8835.085606 8838.740976
20.000937 7006.000000 8833.952796 8837.585601
20.000958 6952.000000 8832.960081 8836.578766
20.000979 6952.000000 8832.111136 8835.723558
20.001000 7005.000000 8831.406765 8835.020126
20.001021 7103.000000 8830.845191 8834.465980
20.001042 7198.000000 8830.422355 8834.056312
20.001062 7255.000000 8830.132219 8833.784316
20.001083 7255.000000 8829.967073 8833.641503
20.001104 7187.000000 8829.917835 8833.618017
20.001125 7077.000000 8829.974340 8833.702942
20.001146 6976.000000 8830.125622 8833.884587
20.001167 6908.000000 8830.360179 8834.150763
20.001188 6909.000000 8830.666217 8834.489036
20.001208 7015.000000 8831.031879 8834.886958
20.001229 7197.000000 8831.445450 8835.332282
20.001250 7351.000000 8831.895537 8835.813139
20.001271 7377.000000 8832.371229 8836.318206
20.001292 7268.000000 8832.862232 8836.836840
20.001313 7110.000000 8833.358979 8837.359187
20.001333 6970.000000 8833.852723 8837.876270
20.001354 6866.000000 8834.335598 8838.380057
20.001375 6844.000000 8834.800667 8838.863498
20.001396 6924.000000 8835.241948 8839.320551
20.001417 7064.000000 8835.654420 8839.746183
20.001438 7202.000000 8836.034014 8840.136358
20.001458 7280.000000 8836.377589 8840.488006
20.001479 7227.000000 8836.682897 8840.798984
20.001500 7084.000000 8836.948532 8841.068021
20.001521 6966.000000 8837.173872 8841.294655
20.001542 6934.000000 8837.359018 8841.479166
20.001562 7004.000000 8837.504722 8841.622498
20.001583 7162.000000 8837.612310 8841.726181
20.001604 7324.000000 8837.683610 8841.792250
20.001625 7437.000000 8837.720868 8841.823164
20.001646 7505.000000 8837.726679 8841.821726
20.001667 7489.000000 8837.703905 8841.791002
20.001687 7412.000000 8837.655606 8841.734248
20.001708 7414.000000 8837.584970 8841.654837
20.001729 7535.000000 8837.495247 8841.556193
20.001750 7694.000000 8837.389694 8841.441731
20.001771 7869.000000 8837.271517 8841.314801
20.001792 8039.000000 8837.143825 8841.178641
20.001812 8136.000000 8837.009589 8841.036331
20.001833 8155.000000 8836.871605 8840.890762
20.001854 8133.000000 8836.732465 8840.744604
20.001875 8071.000000 8836.594537 8840.600283
20.001896 8015.000000 8836.459944 8840.459967
20.001917 8055.000000 8836.330553 8840.325554
20.001938 8192.000000 8836.207970 8840.198665
20.001958 8332.000000 8836.093540 8840.080646
20.001979 8377.000000 8835.988346 8839.972570
20.002000 8307.000000 8835.893218 8839.875248
20.002021 8202.000000 8835.808745 8839.789239
20.002042 8152.000000 8835.735287 8839.714864
20.002063 8177.000000 8835.672989 8839.652226
20.002083 8248.000000 8835.621802 8839.601225
20.002104 8306.000000 8835.581501 8839.561584
20.002125 8285.000000 8835.551706 8839.532866
20.002146 8170.000000 8835.531900 8839.514499
20.002167 7991.000000 8835.521454 8839.505794
20.002188 7813.000000 8835.519648 8839.505974
20.002208 7723.000000 8835.525688 8839.514190
20.002229 7732.000000 8835.538727 8839.529542
20.002250 7754.000000 8835.557887 8839.551101
20.002271 7749.000000 8835.582274 8839.577923
20.002292 7734.000000 8835.610991 8839.609072
20.002312 7681.000000 8835.643158 8839.643627
20.002333 7557.000000 8835.677923 8839.680702
20.002354 7391.000000 8835.714472 8839.719451
20.002375 7236.000000 8835.752040 8839.759084
20.002396 7148.000000 8835.789916 8839.798871
20.002417 7170.000000 8835.827456 8839.838149
20.002437 7276.000000 8835.864078 8839.876326
20.002458 7404.000000 8835.899273 8839.912885
20.002479 7474.000000 8835.932604 8839.947384
20.002500 7413.000000 8835.963705 8839.979457
20.002521 7226.000000 8835.992280 8840.008812
20.002542 7019.000000 8836.018106 8840.035229
20.002562 6898.000000 8836.041022 8840.058558
20.002583 6898.000000 8836.060933 8840.078712
20.002604 6987.000000 8836.077799 8840.095665
20.002625 7113.000000 8836.091636 8840.109445
20.002646 7222.000000 8836.102506 8840.120129
20.002667 7265.000000 8836.110514 8840.127839
20.002688 7212.000000 8836.115803 8840.132732
20.002708 7079.000000 8836.118545 8840.134995
20.002729 6915.000000 8836.118938 8840.134842
20.002750 6779.000000 8836.117198 8840.132506
20.002771 6732.000000 8836.113558 8840.128233
20.002792 6800.000000 8836.108256 8840.122276
20.002813 6941.000000 8836.101539 8840.114893
20.002833 7064.000000 8836.093650 8840.106340
20.002854 7080.000000 8836.084829 8840.096867
20.002875 6976.000000 8836.075308 8840.086717
20.002896 6837.000000 8836.065310 8840.076120
20.002917 6729.000000 8836.055042 8840.065290
20.002938 6643.000000 8836.044698 8840.054426
20.002958 6605.000000 8836.034454 8840.043709
20.002979 6654.000000 8836.024467 8840.033299
20.003000 6734.000000 8836.014875 8840.023337
20.003021 6755.000000 8836.005797 8840.013942
20.003042 6686.000000 8835.997332 8840.005214
20.003062 6547.000000 8835.989560 8839.997231
20.003083 6396.000000 8835.982541 8839.990053
20.003104 6285.000000 8835.976318 8839.983720
20.003125 6209.000000 8835.970918 8839.978255
20.003146 6193.000000 8835.966349 8839.973664
20.003167 6280.000000 8835.962606 8839.969939
20.003187 6408.000000 8835.959674 8839.967059
20.003208 6462.000000 8835.957521 8839.964989
20.003229 6386.000000 8835.956109 8839.963686
20.003250 6190.000000 8835.955391 8839.963100
20.003271 5953.000000 8835.955312 8839.963170
20.003292 5824.000000 8835.955812 8839.963834
20.003312 5865.000000 8835.956829 8839.965024
20.003333 6022.000000 8835.958297 8839.966671
20.003354 6215.000000 8835.960148 8839.968704
20.003375 6334.000000 8835.962317 8839.971054
20.003396 6290.000000 8835.964737 8839.973652
20.003417 6119.000000 8835.967345 8839.976432
20.003438 5907.000000 8835.970082 8839.979332
20.003458 5708.000000 8835.972889 8839.982293
20.003479 5604.000000 8835.975715 8839.985260
20.003500 5644.000000 8835.978512 8839.988185
20.003521 5772.000000 8835.981236 8839.991025
20.003542 5916.000000 8835.983851 8839.993740
20.003563 6032.000000 8835.986325 8839.996300
20.003583 6057.000000 8835.988630 8839.998676
20.003604 5960.000000 8835.990744 8840.000847
20.003625 5770.000000 8835.992652 8840.002798
20.003646 5574.000000 8835.994343 8840.004518
20.003667 5481.000000 8835.995808 8840.006001
20.003688 5526.000000 8835.997046 8840.007244
20.003708 5614.000000 8835.998059 8840.008252
20.003729 5666.000000 8835.998850 8840.009029
20.003750 5684.000000 8835.999429 8840.009585
20.003771 5652.000000 8835.999806 8840.009932
20.003792 5547.000000 8835.999995 8840.010084
20.003812 5412.000000 8836.000009 8840.010057
20.003833 5292.000000 8835.999866 8840.009869
20.003854 5192.000000 8835.999582 8840.009538
20.003875 5110.000000 8835.999176 8840.009083
20.003896 5037.000000 8835.998666 8840.008523
20.003917 4970.000000 8835.998070 8840.007878
20.003937 4929.000000 8835.997406 8840.007165
20.003958 4917.000000 8835.996692 8840.006404
20.003979 4908.000000 8835.995943 8840.005611
20.004000 4881.000000 8835.995176 8840.004802
20.004021 4808.000000 8835.994404 8840.003991
20.004042 4671.000000 8835.993640 8840.003193
20.004062 4527.000000 8835.992897 8840.002418
20.004083 4463.000000 8835.992184 8840.001678
20.004104 4494.000000 8835.991510 8840.000981
20.004125 4572.000000 8835.990883 8840.000334
20.004146 4639.000000 8835.990308 8839.999744
20.004167 4654.000000 8835.989789 8839.999213
20.004188 4623.000000 8835.989330 8839.998746
20.004208 4581.000000 8835.988932 8839.998344
20.004229 4532.000000 8835.988597 8839.998007
20.004250 4486.000000 8835.988323 8839.997735
20.004271 4474.000000 8835.988109 8839.997525
20.004292 4496.000000 8835.987954 8839.997376
20.004313 4521.000000 8835.987853 8839.997284
20.004333 4526.000000 8835.987804 8839.997245
20.004354 4505.000000 8835.987802 8839.997254
20.004375 4455.000000 8835.987843 8839.997307
20.004396 4402.000000 8835.987922 8839.997399
20.004417 4349.000000 8835.988034 8839.997525
20.004438 4285.000000 8835.988174 8839.997679
20.004458 4240.000000 8835.988338 8839.997856
20.004479 4249.000000 8835.988520 8839.998051
20.004500 4281.000000 8835.988716 8839.998260
20.004521 4284.000000 8835.988921 8839.998477
20.004542 4231.000000 8835.989131 8839.998698
